Date;USD;JPY;BGN;CYP;CZK;DKK;EEK;GBP;HUF;LTL;LVL;MTL;PLN;ROL;RON;SEK;SIT;SKK;CHF;ISK;NOK;HRK;RUB;TRL;TRY;AUD;BRL;CAD;CNY;HKD;IDR;ILS;INR;KRW;MXN;MYR;NZD;PHP;SGD;THB;ZAR
9.2.2022;0.002363964;0.00273017;0;NA;0.001194719;0;NA;-0.001281002;-0.000424911;NA;NA;NA;-0.003913899;NA;-2.02E-05;-0.003433924;NA;NA;0.000947867;-0.001405482;-0.001718461;0.000930233;-0.002928051;NA;-0.000308614;-0.005757573;-0.000182714;0.000620283;0.001691943;0.002055846;-0.001670864;0.00173984;0.003769812;-0.001580334;-0.003750642;0.002364191;-0.005189062;-0.001909341;0;-0.005385962;-0.006250358
10.2.2022;0.000349742;0.002873783;0;NA;0.002549448;-0.000443426;NA;-8.31E-05;0.003055338;NA;NA;NA;-0.004752607;NA;4.04E-05;0.011464181;NA;NA;0.001514721;-0.002816903;0.001073143;-0.000132837;-0.005983098;NA;-0.004330629;-0.002450751;-0.008843266;-0.001102992;-0.000508657;0.000403932;-4.76E-05;-0.000570551;0.004207248;0.001317118;-0.004847299;4.18E-05;-0.001813768;-0.000341338;-0.000260637;-0.00195357;-0.01264804
11.2.2022;-0.001925097;-0.001360236;0;NA;0.00225618;-5.38E-05;NA;-0.003448156;-0.001809444;NA;NA;NA;0.006280187;NA;0.000141544;0.002419299;NA;NA;-0.001325256;0;0.000387241;0.00049141;0.009788594;NA;-0.004998327;0.002074103;-0.006810698;0;-0.002175021;-0.000987677;-0.003101164;0.004392989;-0.000975605;-0.002811953;-0.001718202;-0.000480734;0.000526917;-0.001725538;-0.000391083;-0.001313444;-0.001977943
14.2.2022;-0.008885819;-0.012479237;0;NA;0.004986522;0.000147839;NA;-0.002838776;0.01035987;NA;NA;NA;0.004326527;NA;-2.02E-05;0.005933278;NA;NA;-0.008084118;0.005625894;-0.000387241;-0.000252316;0.005725816;NA;-0.003615371;-0.001570895;-0.005041118;-0.004632038;-0.008678195;-0.008695364;-0.009156538;-0.003333653;-0.004459368;-0.006754545;-0.007973968;-0.008650791;0.001579086;-0.006312416;-0.006015842;-0.013012791;-0.008289637
15.2.2022;0.002559465;0.004431209;0;NA;-0.004413034;0.000147817;NA;0.000537362;-0.0048569;NA;NA;NA;-0.008049935;NA;-0.000950772;-0.003954757;NA;NA;0.001049869;-0.009866183;0.001984265;-3.98E-05;-0.009840027;NA;0.007825467;-0.00088078;0.00020349;0.000138581;0.000444735;0.002760027;-0.000163072;-0.006509535;-0.0003335;0.00221239;-0.000942817;0.001538251;0.001809955;0.000516094;0.001179864;-0.002067353;0.002664127
16.2.2022;0.002377076;0.002892595;0;NA;-0.002213842;-0.000161256;NA;0.002086999;0.000900166;NA;NA;NA;-0.001666723;NA;0.000526071;-0.003562263;NA;NA;0.003143009;0.001415428;0.002000119;6.64E-05;-0.001575463;NA;0.00060738;-0.001826945;-0.003601098;-0.001178551;0.001832443;0.002087577;0.002755054;-0.00933406;-0.000638056;0.002802699;0.002614347;0.002145382;-0.002043737;0.003468112;0.001701794;0.001278999;0.002169192
17.2.2022;-0.000175886;-0.005487819;0;NA;0.000738492;-0.000161282;NA;-0.005339462;0.001208324;NA;NA;NA;0.002310445;NA;-8.09E-05;0.005366968;NA;NA;-0.004765999;0.001413428;0.001285093;0.00046473;0.011878625;NA;0.000871657;-0.004613691;-0.004605159;0.001594178;-0.000568809;-0.000225474;0.003626855;-0.000689779;-0.001113181;-0.000448198;-0.005847426;0.000357117;-0.009278357;-0.000548603;-0.000850535;-0.006384045;-0.013139272
18.2.2022;-0.001408203;-0.001912558;0;NA;-0.001888342;-0.000215083;NA;-0.000814771;0.000814092;NA;NA;NA;0.003013318;NA;0.000424736;-0.001265787;NA;NA;-0.00133856;-0.005665738;0.00236815;0.000331818;-0.001233571;NA;-0.001724679;-0.00202917;-0.001026255;-0.001039393;-0.003057681;-0.001421657;0.000795189;0.00124126;-0.007543608;-0.00312828;-0.000421156;-0.001765819;-0.003190926;0.001525057;-0.001506567;-0.002795595;0.005663975
21.2.2022;-0.001410189;-0.002990914;0;NA;0.000328664;0.000201641;NA;-0.001523485;0.003277727;NA;NA;NA;0.003313017;NA;-0.000101111;0.006960858;NA;NA;-0.006238323;0.00425231;0.00268697;6.64E-05;0.031993724;NA;7.11E-05;-0.000190446;-0.006696454;0.002077707;-0.000125286;-0.00138976;-0.00172801;0.004318592;0.000289377;-0.002531862;-0.001386291;-0.002971082;-0.001540011;-0.001765165;0.000655308;0.004190467;0.006051023
22.2.2022;0.000352734;0.002607963;0;NA;0.006183349;-6.72E-05;NA;0.004635211;-0.00462555;NA;NA;NA;0.002114585;NA;0.00032352;-0.005072212;NA;NA;0.003363932;-0.001415428;-0.007102162;0.000132688;0.00803729;NA;0.014567975;-0.000762147;-0.006360091;-0.00089981;-0.000835643;0.000587777;0.001079513;0.004136029;0.000956119;0.00023648;0.00164682;0.001792134;-0.001304941;-0.001579291;0.000196509;0.004363485;-0.000739096
23.2.2022;0.00017632;0.000306373;0;NA;-0.00093937;-5.38E-05;NA;-0.00265633;0.003814122;NA;NA;NA;0.000747844;NA;8.09E-05;-0.003193895;NA;NA;0.000863185;0;-0.006784132;-0.000106149;0.011883831;NA;-0.000560813;-0.009383746;-0.01518132;-0.00325993;-0.001422198;0.000384129;-0.001461735;-0.001887851;-0.001706309;-0.002300663;-0.005446141;0.000168506;-0.010081512;-0.003924679;-0.00098293;-0.00400824;-0.007362513
24.2.2022;-0.016084232;-0.017770691;0;NA;0.024898891;0.000228505;NA;0;0.031357614;NA;NA;NA;0.023318273;NA;0.000666876;0.015775271;NA;NA;-0.010698382;0.005649733;0.005397279;0.002094353;0.051871093;NA;0.023025882;6.41E-05;0.001161134;-0.00543366;-0.015013988;-0.015378176;-0.012127237;0.002816788;-0.003759414;-0.001875513;0.001204099;-0.012376186;0.00077912;-0.009183119;-0.008427201;-0.002379814;0.006582086
